@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
B,20,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.09,0.04,0.0,0,0.06,0.0,0,0.12,0.0,0,?,1,?,?,5,5,4,0,GO0005739@GO0005743@GO0006839@GO0006879@GO0016021@GO0022857@GO0030170@GO0031921
B,20,0.14,0.11,0.15,0.19,0.0,0.01,0.07,0.15,0.18,0.1,0,0.1,0.0,0,0.17,0.41,0,?,?,?,?,?,5,?,0,GO0003934@GO0005525@GO0005737@GO0006729@GO0008270@GO0009396@GO0035998@GO0046654@GO0046656
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.06,0.08,0.02,0.0,0,0.03,0.0,0,0.22,0.27,0,1,1,1,?,5,5,2,0,GO0005524@GO0005886@GO0008559@GO0015711@GO0016021@GO0042908
B,20,0.1,0.08,0.17,0.1,0.0,0.3,0.0,0.09,0.19,1.6,1,0.07,0.0,0,0.18,0.0,0,1,?,?,1,2,5,5,0,GO0004076@GO0005739@GO0009102@GO0046872@GO0051537@GO0051539
B,20,0.14,0.15,0.11,0.12,0.0,0.0,0.02,0.13,0.04,0.0,0,0.12,0.0,0,0.18,0.11,0,?,?,?,?,5,5,2,0,GO0001302@GO0005789@GO0016021@GO0046513@GO0050291@GO0061576
B,20,0.07,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,?,1,1,1,5,3,5,0,GO0005905@GO0006886@GO0006896@GO0016192@GO0030121@GO0030276
B,20,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.16,0.0,0,1,1,1,?,5,5,4,0,GO0003723@GO0005634@GO0006279@GO0007131@GO0030435@GO0051321
B,21,0.09,0.1,0.1,0.1,0.0,-0.05,0.0,0.08,0.04,1.3,0,0.02,0.0,0,0.18,0.0,0,?,?,1,1,?,5,5,0,GO0005789@GO0006612@GO0008565@GO0009408@GO0016021@GO0045047@GO0071555
B,20,0.1,0.1,0.29,0.16,0.0,0.09,0.11,0.15,0.19,0.5,0,0.02,0.0,0,0.27,0.41,0,1,1,?,?,2,5,2,0,GO0004370@GO0005524@GO0005739@GO0006071@GO0006641@GO0019563@GO0046167
B,20,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,4,0,GO0000329@GO0005524@GO0010038@GO0015711@GO0015893@GO0016021@GO0042493@GO0042626@GO0055085
B,20,0.1,0.1,0.14,0.19,0.0,0.0,0.0,0.13,0.04,0.0,0,0.05,0.0,0,0.18,0.0,0,1,?,?,?,5,5,5,0,GO0006950
B,20,0.1,0.1,0.1,0.06,0.0,0.0,-0.1,0.07,0.03,0.0,0,0.08,0.0,0,0.07,1.43,0,1,1,1,?,5,5,?,0,GO0005524@GO0005741@GO0008641@GO0016021@GO0061503@GO0061504
B,41,0.1,0.1,0.07,0.07,0.0,0.0,-0.12,0.07,0.03,0.0,0,0.02,0.0,0,0.08,1.5,0,1,1,?,?,5,5,?,0,GO0005768@GO0005829@GO0006886@GO0008270@GO0030904@GO0030906@GO0042147
B,38,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0006897@GO0007015@GO0030036@GO0030479@GO0032587@GO0035091@GO0051015@GO0051017@GO0051666@GO1900027
B,21,0.35,0.39,0.68,0.6,0.0,0.14,0.11,0.51,0.16,0.9,0,0.13,0.0,0,0.28,0.39,0,?,?,?,?,?,5,?,0,GO0003676@GO0004816@GO0005524@GO0005829@GO0006421
B,21,0.24,0.19,0.22,0.38,0.0,0.0,0.08,0.26,0.11,0.0,0,0.08,0.0,0,0.13,0.62,0,?,?,?,?,5,5,?,0,GO0002161@GO0004827@GO0005524@GO0005737@GO0006433@GO0017101
B,20,0.08,0.11,0.14,0.16,0.0,0.0,0.01,0.12,0.09,0.0,0,0.09,0.0,0,0.18,0.06,0,?,?,?,?,5,5,?,0,GO0004222@GO0005743@GO0005759@GO0006627@GO0008270@GO0017087
B,21,0.09,0.19,0.14,0.17,0.0,0.0,0.17,0.15,0.17,0.0,0,0.07,0.0,0,0.21,0.81,0,?,?,?,?,5,5,?,0,GO0000329@GO0004252@GO0008239@GO0016021@GO0016485
B,21,0.2,0.18,0.17,0.14,0.0,0.0,-0.13,0.17,0.02,0.0,0,0.03,0.0,0,0.09,1.44,0,?,?,?,?,5,5,?,0,GO0004029@GO0005783@GO0007131
B,20,0.33,0.5,0.34,0.7,0.0,0.0,0.1,0.47,0.15,0.0,0,0.11,0.0,0,0.19,0.53,0,?,?,?,?,5,5,?,0,GO0003958@GO0005741@GO0005789@GO0005886@GO0006696@GO0009055@GO0010181@GO0016021
B,20,0.18,0.19,0.18,0.14,0.0,0.0,0.0,0.17,0.08,0.0,0,0.07,0.0,0,0.2,0.0,0,?,?,?,?,5,5,5,0,GO0005770@GO0005774@GO0005802@GO0006824@GO0006828@GO0006877@GO0016021@GO0022890@GO0030026@GO0046872@GO0046873
B,20,0.1,0.1,0.09,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,?,1,5,5,5,0,GO0000462@GO0003723@GO0004004@GO0005524@GO0005654@GO0005730@GO0005737@GO0008186@GO0010501@GO0031167
B,20,0.23,0.32,0.19,0.29,0.0,0.0,-0.03,0.26,0.06,0.0,0,0.16,0.0,0,0.17,0.18,0,?,?,?,?,5,5,?,0,GO0008612@GO0034038
B,20,0.1,0.09,0.14,0.12,0.0,0.0,0.0,0.11,0.02,0.0,0,0.04,0.0,0,0.11,0.0,0,1,?,?,?,2,5,4,0,GO0000250@GO0005789@GO0005811@GO0006696
B,20,0.19,0.25,0.22,0.11,0.0,0.0,0.0,0.19,0.06,0.0,0,0.08,0.0,0,0.18,0.0,0,?,?,?,?,5,5,5,0,GO0000243@GO0000398@GO0003723@GO0003729@GO0005634@GO0005685@GO0005737@GO0005739@GO0006376@GO0048026@GO0071004
B,20,0.2,0.14,0.25,0.11,0.0,0.03,-0.2,0.18,0.08,0.4,0,0.09,0.0,0,0.05,4.6,1,?,?,?,?,?,?,1,0,GO0005789@GO0015031@GO0016021@GO0016192
B,20,0.1,0.1,0.08,0.07,0.0,0.0,0.0,0.07,0.04,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,?,?,5,5,4,0,GO0004067@GO0005619@GO0006530@GO0030476
B,20,0.1,0.1,0.14,0.1,0.0,0.15,0.0,0.09,0.17,0.9,0,0.03,0.0,0,0.18,0.0,0,1,1,?,1,?,5,5,0,GO0003677@GO0005634
B,20,0.11,0.14,0.08,0.12,0.0,0.0,0.0,0.11,0.09,0.0,0,0.1,0.0,0,0.18,0.0,0,?,?,?,?,5,5,5,0,GO0003723@GO0003735@GO0005762@GO0019843@GO0032543
B,20,0.12,0.1,0.1,0.1,0.0,-0.0,0.0,0.08,0.08,0.5,0,0.07,0.0,0,0.18,0.0,0,?,1,1,1,1,5,5,0,GO0004499@GO0005789@GO0006457@GO0050660@GO0050661
B,21,0.1,0.1,0.07,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,?,?,5,5,5,0,GO0005635@GO0005640@GO0016021@GO0034613@GO0034727@GO0071561@GO0071562
B,20,0.08,0.09,0.2,0.13,0.0,0.1,0.02,0.13,0.11,0.9,0,0.06,0.0,0,0.19,0.11,0,?,?,?,?,2,5,?,0,GO0000781@GO0005634@GO0006351@GO0006355@GO0008379@GO0034599@GO0045454
B,21,0.1,0.1,0.1,0.07,0.0,0.0,-0.14,0.07,0.03,0.0,0,0.02,0.0,0,0.03,4.67,0,1,1,1,?,5,5,?,0,GO0000033@GO0000139@GO0005794@GO0006493@GO0016021
B,20,0.12,0.11,0.14,0.17,0.0,0.0,0.01,0.14,0.04,0.0,0,0.05,0.0,0,0.13,0.08,0,?,?,?,?,?,5,?,0,GO0001172@GO0003677@GO0003899@GO0005654@GO0005665@GO0006366@GO0006369@GO0046872@GO0046983
B,20,0.1,0.09,0.08,0.12,0.0,0.0,0.0,0.09,0.07,0.0,0,0.1,0.0,0,0.18,0.0,0,1,?,?,?,5,5,5,0,GO0001405@GO0005524@GO0005743@GO0005744@GO0030150@GO0030674@GO0031314@GO0051087
B,20,0.14,0.12,0.14,0.09,0.0,0.01,0.0,0.12,0.15,0.1,0,0.14,0.0,0,0.17,0.0,0,?,?,?,?,?,5,4,0,GO0000837@GO0004842@GO0005635@GO0005637@GO0008270@GO0016021@GO0030176@GO0030433@GO0061630
B,20,0.09,0.1,0.12,0.07,0.0,0.02,0.0,0.09,0.04,0.5,0,0.07,0.0,0,0.17,0.0,0,?,1,?,?,?,5,4,0,GO0000289@GO0000290@GO0000932@GO0005634@GO0005737@GO0006351@GO0006357@GO0016567@GO0017148@GO0030015@GO0032968
B,20,2.69,2.41,2.93,1.48,0.0,0.04,0.0,2.38,0.08,0.5,0,0.08,0.0,0,0.21,0.0,0,?,?,?,?,?,5,5,0,GO0004128@GO0005741@GO0005783@GO0005789@GO0016021@GO0022900
B,21,0.09,0.08,0.07,0.19,0.0,0.0,0.0,0.11,0.03,0.0,0,0.09,0.0,0,0.17,0.0,0,?,?,?,?,5,5,?,0,GO0000082@GO0000083@GO0000209@GO0005634@GO0005737@GO0006270@GO0006351@GO0009086@GO0016567@GO0019005@GO0019344@GO0030174@GO0031146@GO0042802@GO0043130@GO0043224@GO0046685@GO0046686
B,20,0.1,0.08,0.15,0.12,0.0,0.14,0.03,0.11,0.16,0.9,0,0.12,0.0,0,0.17,0.18,0,1,?,?,?,2,5,2,0,GO0000266@GO0001300@GO0005741@GO0005777@GO0006915@GO0007031@GO0016021@GO0016559@GO0090141
B,21,0.1,0.14,0.1,0.06,0.0,0.0,0.0,0.09,0.02,0.0,0,0.03,0.0,0,0.18,0.0,0,1,?,?,?,5,5,5,0,GO0004748@GO0005524@GO0005737@GO0005971@GO0006260@GO0009263
B,21,0.08,0.1,0.1,0.08,0.0,0.03,-0.15,0.08,0.07,0.4,0,0.05,0.0,0,0.06,2.5,0,?,1,?,?,2,5,?,0,GO0003924@GO0005525@GO0005829@GO0005886@GO0005933@GO0007264@GO0030950@GO0045921@GO0090338
B,21,0.09,0.1,0.08,0.06,0.0,0.0,0.0,0.08,0.09,0.0,0,0.12,0.0,0,0.18,0.0,0,?,?,?,?,5,5,5,0,GO0000131@GO0000144@GO0005509@GO0005887@GO0005935@GO0007120@GO0032153
B,21,0.11,0.19,0.23,0.21,0.0,0.11,0.01,0.19,0.12,0.9,0,0.06,0.0,0,0.19,0.05,0,?,?,?,?,2,5,?,0,GO0005524@GO0005832@GO0006457@GO0006458@GO0044183@GO0051082@GO0061077
B,20,0.1,0.1,0.1,0.06,0.0,0.0,0.0,0.07,0.06,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,5,0,GO0004843@GO0005737@GO0006511@GO0016579
B,20,0.08,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,?,1,1,1,5,5,5,0,GO0003729@GO0003988@GO0005758@GO0005777@GO0005782@GO0006635
B,23,0.08,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,?,1,1,1,5,5,5,0,GO0005351@GO0016021
B,21,0.09,0.1,0.1,0.05,0.0,0.0,0.0,0.07,0.06,0.0,0,0.05,0.0,0,0.18,0.0,0,?,1,1,?,5,5,5,0,GO0000122@GO0000790@GO0000981@GO0003677@GO0005634@GO0005737@GO0006351@GO0010723@GO0031939@GO0045944
B,21,0.13,0.14,0.13,0.09,0.0,0.0,0.0,0.12,0.07,0.0,0,0.03,0.0,0,0.18,0.0,0,?,?,?,?,5,5,5,0,GO0000372@GO0003723@GO0005759@GO0006397
B,20,0.1,0.12,0.1,0.08,0.0,0.0,0.0,0.09,0.06,0.0,0,0.09,0.0,0,0.18,0.0,0,1,?,1,?,5,5,5,0,GO0000027@GO0004725@GO0005634@GO0005737@GO0006470@GO0008138@GO0010494@GO0019933@GO0030476@GO0051321@GO2000786
B,20,0.1,0.1,0.1,0.07,0.0,0.0,0.0,0.07,0.03,0.0,0,0.02,0.0,0,0.17,0.0,0,1,1,1,?,5,5,4,0,GO0000256@GO0005274@GO0005886@GO0006144@GO0015720@GO0016020@GO0016021
B,20,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.08,0.05,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,?,5,5,4,0,GO0000778@GO0007094@GO0033597@GO0044774@GO0051301@GO0051312
C,21,0.4,0.12,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.47,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000288@GO0000290@GO0000339@GO0000932@GO0003682@GO0003729@GO0005634@GO0005737@GO0005845@GO0006397@GO1990726
C,20,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.54,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0005381@GO0005739@GO0005743@GO0006397@GO0006839@GO0008380@GO0015093@GO0016021@GO0048250@GO0055072
C,21,0.4,0.21,0.3,0.2,0.0,0.0,0.0,0.27,0.13,0.0,0,0.29,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0005787@GO0006465@GO0008233@GO0030176@GO0045047
C,21,0.52,0.34,0.42,0.36,0.0,0.0,0.0,0.41,0.13,0.0,0,0.22,0.0,0,0.17,0.0,0,?,?,?,?,5,4,5,0,GO0004160@GO0005739@GO0009082@GO0009097@GO0009099@GO0046872@GO0051539
C,21,0.4,0.28,0.3,0.53,0.0,0.0,0.03,0.37,0.13,0.0,0,0.3,0.0,0,0.13,0.23,0,?,?,1,?,5,4,2,0,GO0000122@GO0000413@GO0000993@GO0003755@GO0005634@GO0005737@GO0006369@GO0031064@GO0035307@GO0045899@GO0045944@GO0080182@GO1901407@GO2000059@GO2000749
C,20,0.4,0.27,0.49,0.2,0.0,0.0,0.0,0.34,0.26,0.0,0,0.29,0.0,0,0.17,0.0,0,1,?,?,1,4,4,5,0,GO0005758@GO0006122@GO0006123@GO0009055@GO0020037@GO0046872@GO0070469
C,21,0.4,0.09,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,?,1,1,5,5,5,0,GO0000082@GO0004672@GO0004674@GO0005524@GO0005634@GO0005737@GO0005886@GO0006873@GO0015846@GO0035556
C,20,0.4,0.32,0.3,0.31,0.0,0.0,0.0,0.31,0.13,0.0,0,0.22,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0000122@GO0001054@GO0003676@GO0005736@GO0006360@GO0006363@GO0006379@GO0008270@GO0042254@GO0042790@GO0061629
C,20,0.4,0.14,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.44,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000144@GO0000281@GO0001400@GO0005198@GO0005525@GO0005619@GO0005628@GO0005876@GO0005881@GO0010314@GO0030011@GO0031105@GO0032160@GO0042802@GO0045860@GO0070273@GO0072687@GO0097271
C,21,0.4,0.1,0.3,0.52,0.0,0.0,0.17,0.31,0.13,0.0,0,0.59,0.0,0,0.34,0.5,0,1,1,1,?,5,5,2,0,GO0004032@GO0004033@GO0019568@GO0034599@GO0042843
C,20,0.4,0.12,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.49,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000147@GO0005768@GO0005794@GO0005829@GO0006895@GO0007015@GO0015031@GO0030036@GO0030125@GO0030276@GO0030479@GO0032266@GO0032511@GO0034498@GO0071985@GO0080025
C,20,0.49,0.35,0.3,0.4,0.0,-0.3,0.0,0.38,0.15,1.9,1,0.25,0.0,0,0.17,0.0,0,?,?,1,?,1,4,5,0,GO0004169@GO0006493@GO0016021@GO0031505@GO0035269@GO0042802@GO0071712@GO0097582@GO0097586@GO1900101
C,20,0.4,0.11,0.3,0.29,0.0,0.0,0.0,0.25,0.13,0.0,0,0.52,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0000096@GO0004020@GO0005524@GO0009086@GO0019344@GO0019379@GO0070814
C,20,0.4,0.19,0.3,0.2,0.0,0.0,0.0,0.26,0.13,0.0,0,0.36,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000815@GO0005737@GO0015031@GO0043162@GO0045053@GO0045324@GO0070676@GO1904669
C,20,0.4,0.17,0.3,0.32,0.0,0.0,0.0,0.28,0.13,0.0,0,0.37,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0003735@GO0005763@GO0032543@GO0070181
C,20,0.72,0.42,0.29,0.81,0.0,0.0,0.08,0.56,0.13,0.0,0,0.12,0.0,0,0.17,0.47,0,?,?,?,?,5,4,2,0,GO0005794@GO0006673@GO0016021@GO0030148@GO0032580@GO0045140@GO0070916
C,21,0.4,0.13,0.3,0.26,0.0,0.0,0.0,0.25,0.13,0.0,0,0.46,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0000131@GO0005884@GO0005934@GO0008290@GO0030479@GO0051015@GO0051016
C,20,0.4,0.17,0.3,0.2,0.0,0.0,0.0,0.26,0.13,0.0,0,0.37,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000027@GO0000956@GO0005654@GO0005730@GO0005737@GO0006364@GO0030687@GO0042273@GO0070180
C,21,0.4,0.1,0.3,0.25,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,?,5,5,5,0,GO0000209@GO0004842@GO0005737@GO0006513@GO0010994@GO0051974@GO0061630
C,20,0.4,0.1,0.3,0.26,0.0,0.0,0.0,0.24,0.13,0.0,0,0.54,0.0,0,0.17,0.0,0,1,?,1,?,5,4,5,0,GO0004660@GO0004661@GO0004662@GO0005953@GO0005965@GO0007323@GO0018343@GO0018344
C,20,0.4,0.29,0.3,0.45,0.0,0.0,0.0,0.34,0.13,0.0,0,0.25,0.0,0,0.16,0.0,0,1,?,1,?,5,4,?,0,GO0000979@GO0003713@GO0005672@GO0005737@GO0006367@GO0017025@GO0045944@GO0051091@GO0051123
C,20,0.4,0.14,0.3,0.3,0.0,0.0,0.0,0.25,0.13,0.0,0,0.42,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0005743@GO0006839@GO0008272@GO0015116@GO0015131@GO0015729@GO0016021@GO0034658@GO0034659@GO1901239
C,20,0.4,0.2,0.37,0.64,0.0,0.0,0.13,0.4,0.13,0.0,0,0.33,0.0,0,0.13,1.0,0,1,?,?,?,4,4,?,0,GO0005737
C,20,0.51,0.15,0.36,0.2,0.0,0.0,0.0,0.32,0.13,0.0,0,0.37,0.0,0,0.17,0.0,0,?,?,?,1,5,4,5,0,GO0005739@GO0005749@GO0006099@GO0006121@GO0008177@GO0009055@GO0009061@GO0031966@GO0045333@GO0050660
C,20,0.62,0.43,0.92,1.02,0.0,0.14,0.27,0.75,0.12,1.2,0,0.15,0.0,0,0.17,1.59,1,?,?,?,?,?,4,2,0,GO0004128@GO0005741@GO0005758@GO0006696@GO0031307@GO0034599
C,20,8.38,7.69,4.91,9.57,0.0,-0.14,0.1,7.64,0.12,1.2,0,0.11,0.0,0,0.1,1.0,0,?,?,?,?,?,?,?,0,GO0004619@GO0005739@GO0005741@GO0005758@GO0005829@GO0006094@GO0006096@GO0043456@GO0046538
C,20,1.28,0.88,1.3,9.38,0.0,0.01,0.49,3.21,0.12,0.1,0,0.25,0.0,0,0.32,1.53,1,?,?,?,?,?,4,2,0,GO0005199@GO0005576@GO0009277@GO0031505
C,20,0.35,0.17,0.47,0.2,0.0,0.0,0.0,0.31,0.13,0.0,0,0.39,0.0,0,0.17,0.0,0,?,?,?,1,4,4,5,0,GO0000139@GO0000324@GO0005774@GO0005783@GO0005789@GO0006506@GO0008484@GO0009277@GO0015867@GO0016021@GO0051377@GO0071555
C,20,0.4,0.11,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.5,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000280@GO0005730@GO0006364@GO0030687@GO0034399@GO0042273@GO0042802
C,21,0.4,0.22,0.3,0.26,0.0,0.0,0.0,0.27,0.13,0.0,0,0.23,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0004839@GO0005524@GO0005634@GO0005737@GO0006511@GO0006974@GO0016567
C,20,0.4,0.35,0.37,0.46,0.0,0.0,0.0,0.38,0.13,0.0,0,0.14,0.0,0,0.17,0.0,0,1,?,?,?,5,4,4,0,GO0000162@GO0004049@GO0004425@GO0005950@GO0006541
C,20,0.4,0.13,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.53,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0071555
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.56,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000408@GO0000722@GO0000723@GO0002949@GO0005654@GO0005737@GO0006351@GO0006400@GO0031490@GO0045944@GO0046872@GO0051276@GO0061711@GO0070525
C,20,0.5,0.2,0.3,0.44,0.0,0.0,0.0,0.35,0.13,0.0,0,0.53,0.0,0,0.17,0.0,0,1,?,1,?,5,5,5,0,GO0000328@GO0005768@GO0005771@GO0005789@GO0005886@GO0005887@GO0006865@GO0015171@GO0015192@GO0015193@GO0015203@GO0015846@GO0030134
C,21,0.36,0.65,0.57,0.8,0.0,0.0,-0.01,0.6,0.13,0.0,0,0.14,0.0,0,0.16,0.06,0,?,?,?,?,5,4,?,0,GO0005634@GO0005737@GO0005975@GO0016491@GO0042254@GO0046390@GO0050278
C,20,0.4,0.09,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.56,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000014@GO0006400@GO0030696@GO0030697@GO0051908
C,21,0.4,0.1,0.3,0.2,0.0,0.0,0.0,0.24,0.13,0.0,0,0.56,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0003677@GO0005673@GO0006355@GO0006366@GO0006367@GO0097550
C,20,0.4,0.1,0.3,0.28,0.0,0.0,0.0,0.25,0.13,0.0,0,0.55,0.0,0,0.17,0.0,0,1,1,1,?,5,5,4,0,GO0004366@GO0005783@GO0005811@GO0008654@GO0016024@GO0016287@GO0030176@GO0102420
C,20,0.4,0.15,0.3,0.3,0.0,0.0,0.0,0.27,0.13,0.0,0,0.36,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0004487@GO0005634@GO0005829@GO0006164@GO0006730@GO0009113@GO0009396
C,20,0.47,0.25,0.4,1.25,0.0,0.0,0.27,0.59,0.21,0.0,0,0.39,0.0,0,0.26,1.04,1,?,?,?,?,5,4,?,0,GO0001319@GO0005524@GO0005634@GO0005737@GO0019538@GO0034399@GO0034975@GO0035617@GO0042623@GO0042802@GO0043335@GO0043531@GO0051082@GO0051085@GO0051087@GO0070370@GO0070414@GO0072380
C,20,0.4,0.19,0.3,0.2,0.0,0.0,0.0,0.26,0.13,0.0,0,0.3,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000747@GO0005215@GO0005886@GO0006071@GO0006846@GO0015168@GO0015254@GO0015700@GO0015791@GO0015793@GO0016021@GO0046685
C,20,0.4,0.16,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.39,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000324@GO0000329@GO0005524@GO0006816@GO0015432@GO0015721@GO0016021
C,20,0.4,0.1,0.3,0.24,0.0,0.0,0.0,0.24,0.13,0.0,0,0.59,0.0,0,0.17,0.0,0,1,1,1,?,5,5,5,0,GO0000293@GO0000329@GO0005886@GO0006826@GO0006880@GO0015677@GO0016021@GO0046872@GO0052851
C,20,0.4,0.25,0.3,0.31,0.0,0.0,0.0,0.29,0.13,0.0,0,0.21,0.0,0,0.17,0.0,0,1,?,1,?,5,4,5,0,GO0005887@GO0015250@GO0034220
C,21,0.4,0.15,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.36,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0003962@GO0006790@GO0009086@GO0019346@GO0030170
C,20,0.4,0.14,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.39,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000112@GO0000439@GO0003676@GO0005675@GO0006289@GO0006366@GO0008270@GO0061630@GO0070816
C,21,0.4,0.14,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.4,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0004721@GO0005886@GO0006470@GO0009408@GO0009651@GO0071472
C,20,0.53,0.6,0.3,1.24,0.0,0.0,0.26,0.66,0.13,0.0,0,0.15,0.0,0,0.21,1.24,1,?,?,1,?,5,4,?,0,GO0000329@GO0005789@GO0006826@GO0006879@GO0016021@GO0022890@GO0046872@GO0046873
C,20,0.4,0.27,0.3,0.44,0.0,0.0,0.0,0.33,0.13,0.0,0,0.26,0.0,0,0.17,0.0,0,1,?,1,?,5,4,4,0,GO0000253@GO0005783@GO0005789@GO0005811@GO0006696
C,20,0.4,0.1,0.3,0.42,0.0,0.0,0.08,0.28,0.13,0.0,0,0.56,0.0,0,0.17,0.47,0,1,1,1,?,5,5,2,0,GO0004190@GO0005576@GO0009277@GO0030163@GO0031362@GO0031505@GO0046658
C,20,0.4,0.14,0.3,0.2,0.0,0.0,0.0,0.25,0.13,0.0,0,0.43,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0000287@GO0000949@GO0004737@GO0005634@GO0005737@GO0006090@GO0006559@GO0006569@GO0009083@GO0019655@GO0030976@GO0047433@GO0047434@GO0050177
C,20,0.4,0.22,0.3,0.2,0.0,0.0,0.0,0.27,0.13,0.0,0,0.25,0.0,0,0.17,0.0,0,1,?,1,1,5,4,5,0,GO0006597@GO0015940@GO0016768
